Player,Team,Comp,Att,Pct,Yds,Avg,Yds/G,TD,Int,1st,1st%,Rate
Drew Brees,NO,428,627,68.3,"4,870",7.8,324.7,32,11,228,36.4,101
Philip Rivers,SD,437,661,66.1,"4,792",7.2,299.5,29,13,226,34.2,93.8
Tom Brady,NE,402,624,64.4,"4,770",7.6,298.1,36,7,228,36.5,102.2
Carson Palmer,ARI,342,537,63.7,"4,671",8.7,291.9,35,11,231,43,104.6
Matt Ryan,ATL,407,614,66.3,"4,591",7.5,286.9,21,16,229,37.3,89
Eli Manning,NYG,387,618,62.6,"4,432",7.2,277,35,14,204,33,93.6
Blake Bortles,JAC,355,606,58.6,"4,428",7.3,276.8,35,18,215,35.5,88.2
Matthew Stafford,DET,398,592,67.2,"4,262",7.2,266.4,32,13,223,37.7,97
Ryan Tannehill,MIA,363,586,61.9,"4,208",7.2,263,24,12,193,32.9,88.7
Kirk Cousins,WAS,379,543,69.8,"4,166",7.7,260.4,29,11,204,37.6,101.6
Jameis Winston,TB,312,535,58.3,"4,042",7.6,252.6,22,15,201,37.6,84.2
Russell Wilson,SEA,329,483,68.1,"4,024",8.3,251.5,34,8,187,38.7,110.1
Derek Carr,OAK,350,573,61.1,"3,987",7,249.2,32,13,183,31.9,91.1
Ben Roethlisberger,PIT,319,469,68,"3,938",8.4,328.2,21,16,174,37.1,94.5
Ryan Fitzpatrick,NYJ,335,562,59.6,"3,905",6.9,244.1,31,15,196,34.9,88
Cam Newton,CAR,296,495,59.8,"3,837",7.8,239.8,35,10,195,39.4,99.4
Aaron Rodgers,GB,347,572,60.7,"3,821",6.7,238.8,31,8,173,30.2,92.7
Sam Bradford,PHI,346,532,65,"3,725",7,266.1,19,14,164,30.8,86.4
Jay Cutler,CHI,311,483,64.4,"3,659",7.6,243.9,21,11,171,35.4,92.3
Alex Smith,KC,307,470,65.3,"3,486",7.4,217.9,20,7,154,32.8,95.4
Andy Dalton,CIN,255,386,66.1,"3,250",8.4,250,25,7,147,38.1,106.2
Teddy Bridgewater,MIN,292,447,65.3,"3,231",7.2,201.9,14,9,153,34.2,88.7
Tyrod Taylor,BUF,242,380,63.7,"3,035",8,216.8,20,6,129,33.9,99.4
Marcus Mariota,TEN,230,370,62.2,"2,818",7.6,234.8,19,10,142,38.4,91.5
Joe Flacco,BAL,266,413,64.4,"2,791",6.8,279.1,14,12,123,29.8,83.1
Brian Hoyer,HOU,224,369,60.7,"2,606",7.1,236.9,19,7,130,35.2,91.4
Peyton Manning,DEN,198,331,59.8,"2,249",6.8,224.9,9,17,110,33.2,67.9
Josh McCown,CLE,186,292,63.7,"2,109",7.2,263.6,12,4,96,32.9,93.3
Nick Foles,STL,190,337,56.4,"2,052",6.1,186.5,7,10,82,24.3,69
Blaine Gabbert,SF,178,282,63.1,"2,031",7.2,253.9,10,7,83,29.4,86.2
Brock Osweiler,DEN,170,275,61.8,"1,967",7.2,245.9,10,6,91,33.1,86.4
Andrew Luck,IND,162,293,55.3,"1,881",6.4,268.7,15,12,90,30.7,74.9
Matt Hasselbeck,IND,156,256,60.9,"1,690",6.6,211.2,9,5,85,33.2,84
Colin Kaepernick,SF,144,244,59,"1,615",6.6,179.4,6,5,71,29.1,78.5
Johnny Manziel,CLE,129,223,57.8,"1,500",6.7,166.7,7,5,71,31.8,79.4
Matt Cassel,DAL,119,204,58.3,"1,276",6.3,159.5,5,7,54,26.5,70.6
Zach Mettenberger,TEN,101,166,60.8,935,5.6,133.6,4,7,45,27.1,66.7
Tony Romo,DAL,83,121,68.6,884,7.3,221,5,7,46,38,79.4
AJ McCarron,CIN,79,119,66.4,854,7.2,122,6,2,44,37,97.1
Case Keenum,STL,76,125,60.8,828,6.6,138,4,1,41,32.8,87.7
Kellen Moore,DAL,61,104,58.7,779,7.5,259.7,4,6,40,38.5,71
Mark Sanchez,PHI,59,91,64.8,616,6.8,154,4,4,29,31.9,80.7
Ryan Mallett,BAL,58,97,59.8,566,5.8,283,2,2,34,35.1,74.5
EJ Manuel,BUF,52,84,61.9,561,6.7,80.1,3,3,26,31,78.5
Jimmy Clausen,BAL,49,85,57.6,555,6.5,277.5,2,3,26,30.6,70.5
Austin Davis,CLE,56,94,59.6,547,5.8,182.3,1,3,25,26.6,66.2
Matt Schaub,BAL,52,80,65,540,6.8,270,3,4,28,35,76
Landry Jones,PIT,32,55,58.2,513,9.3,73.3,3,4,19,34.5,77.3
Mike Vick,PIT,40,66,60.6,371,5.6,74.2,2,1,14,21.2,79.8
T.J. Yates,HOU,28,57,49.1,370,6.5,92.5,3,1,19,33.3,80.3
